algorithm,battery_capacity_seconds,completed_job_ratio,coverage_ratio,cpu_cycles_per_second,energy_per_cpu_cycle,horizon_sec,parameter_key,parameter_label,parameter_value,satellite_solar_panel_power_watts,slot_len,slots,task_average_deadline,task_average_execution,task_average_period,time_slot_length,wall_clock_sec
energy_first,10,0.5684523809523809,0.6007056510397691,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),10,14,60,60,30,50,220,60,0.009257665999999887
edf,10,0.3392857142857143,0.46237363923082386,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),10,14,60,60,30,50,220,60,0.007292291000000617
random,10,0.44345238095238093,0.5234381553467055,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),10,14,60,60,30,50,220,60,0.009242208999999946
maxflow_preflow_push,0.5,0.0,0.004350514868563445,10000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,10000000.0,14,60,60,30,50,220,60,0.5289203749999984
energy_first,0.5,0.0,0.004350514868563445,10000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,10000000.0,14,60,60,30,50,220,60,0.009041375000000684
edf,0.5,0.0,0.004350514868563445,10000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,10000000.0,14,60,60,30,50,220,60,0.007179000000000713
random,0.5,0.0,0.0033108326609949186,10000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,10000000.0,14,60,60,30,50,220,60,0.00866833400000111
maxflow_preflow_push,0.5,0.0,0.00870102973712689,20000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,20000000.0,14,60,60,30,50,220,60,0.5160994579999993
energy_first,0.5,0.0,0.00870102973712689,20000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,20000000.0,14,60,60,30,50,220,60,0.009160707999999573
edf,0.5,0.0,0.00870102973712689,20000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,20000000.0,14,60,60,30,50,220,60,0.007140334000000692
random,0.5,0.0,0.006621665321989837,20000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,20000000.0,14,60,60,30,50,220,60,0.008675459000000885
maxflow_preflow_push,0.5,0.0,0.021752574342817466,50000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,50000000.0,14,60,60,30,50,220,60,0.5194452920000003
energy_first,0.5,0.0,0.021752574342817542,50000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,50000000.0,14,60,60,30,50,220,60,0.009187208000000169
edf,0.5,0.0,0.021752574342817542,50000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,50000000.0,14,60,60,30,50,220,60,0.007340040999999076
random,0.5,0.0,0.016554163304974834,50000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,50000000.0,14,60,60,30,50,220,60,0.008631417000000141
maxflow_preflow_push,0.5,0.0,0.04350514868563493,100000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,100000000.0,14,60,60,30,50,220,60,0.5261701250000002
energy_first,0.5,0.0,0.043505148685635084,100000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,100000000.0,14,60,60,30,50,220,60,0.009053208000000978
edf,0.5,0.0,0.043505148685635084,100000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,100000000.0,14,60,60,30,50,220,60,0.007047166999999632
random,0.5,0.0,0.03310832660994967,100000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,100000000.0,14,60,60,30,50,220,60,0.00855200000000167
maxflow_preflow_push,0.5,0.0,0.08701029737126986,200000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,200000000.0,14,60,60,30,50,220,60,0.5250182499999987
energy_first,0.5,0.0,0.08701029737127017,200000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,200000000.0,14,60,60,30,50,220,60,0.008962875000001702
edf,0.5,0.0,0.08701029737127017,200000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,200000000.0,14,60,60,30,50,220,60,0.007020708999998959
random,0.5,0.0,0.06621665321989934,200000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,200000000.0,14,60,60,30,50,220,60,0.00849283399999834
maxflow_preflow_push,0.5,0.0,0.21752574342817171,500000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,500000000.0,14,60,60,30,50,220,60,0.5273184999999998
energy_first,0.5,0.0,0.21752574342817124,500000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,500000000.0,14,60,60,30,50,220,60,0.009033083000002051
edf,0.5,0.0,0.21752574342817124,500000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,500000000.0,14,60,60,30,50,220,60,0.00700579099999743
random,0.5,0.0,0.16554163304974517,500000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,500000000.0,14,60,60,30,50,220,60,0.008537875000001804
maxflow_preflow_push,0.5,0.0,0.43505148685634343,1000000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,1000000000.0,14,60,60,30,50,220,60,0.6123392909999978
energy_first,0.5,0.0,0.4350514868563425,1000000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,1000000000.0,14,60,60,30,50,220,60,0.009940792000001863
