Nc,Ns,Nt,algorithm,battery_capacity_seconds,coverage_ratio,cpu_cycles_per_second,energy_per_cpu_cycle,expected_feasible,feasible,horizon_sec,max_flow_value,num_edges,num_jobs,num_nodes,satellite_solar_panel_power_watts,tag,task_average_deadline,task_average_execution,task_average_period,time_slot_length,total_demand
6,48,1440,energy_first,7200,0.7306900952568486,10000000000.0,1e-09,,False,86400,262645.4923862612,,7555,,40.0,deadline=225,225,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11545816881264535,10000000000.0,1e-09,,False,86400,41501.27091452452,,7555,,40.0,deadline=225,225,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11545816881264535,10000000000.0,1e-09,,False,86400,41501.27091452452,,7555,,40.0,deadline=225,225,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,period=300,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8077191425063909,10000000000.0,1e-09,,False,86400,290333.47142721014,,7555,,40.0,period=300,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,period=300,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,period=300,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40,P_solar=40,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8077191425063909,10000000000.0,1e-09,,False,86400,290333.47142721014,,7555,,40,P_solar=40,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40,P_solar=40,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40,P_solar=40,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.844501437982894,10000000000.0,1e-09,,False,86400,303554.814058308,2150486,7555,145803,30,P_solar=30,300,50,300,60,359448.5460952605
