slot,avg_ecoflow,min_ecoflow,avg_energy_first,min_energy_first,avg_edf,min_edf,avg_random,min_random,avg_milp,min_milp
47,0.9485294117647058,0.0,0.9779411764705882,0.0,0.9705882352941176,0.0,0.9779411764705882,0.0,0.9485294141470589,0.0
48,0.9558823529411765,0.0,0.9705882352941176,0.0,0.9705882352941176,0.0,0.9779411764705882,0.0,0.9558823542941177,0.0
49,1.0,1.0,0.9705882352941176,0.0,0.9705882352941176,0.0,0.9705882352941176,0.0,0.9558823547352944,0.0
50,0.9558823529411765,0.0,0.9705882352941176,0.0,0.9705882352941176,0.0,0.9705882352941176,0.0,0.9558823556176472,0.0
51,0.9632352941176471,0.0,0.9632352941176471,0.0,0.9632352941176471,0.0,0.9705882352941176,0.0,0.9632352972352942,0.0
52,0.9779411764705882,0.0,0.9926470588235294,0.0,0.9632352941176471,0.0,0.9779411764705882,0.0,0.9632352963529414,0.0
53,0.9926470588235294,0.0,0.9926470588235294,0.0,0.9705882352941176,0.0,0.9779411764705882,0.0,1.0,1.0
54,0.9891544571357281,1.0658141036401503e-14,0.9779411764705882,0.0,0.9705882352941176,0.0,0.9779411764705882,0.0,0.959374955,0.0
55,0.9485294117647058,0.0,0.9779411764705882,0.0,0.9705882352941176,0.0,0.9779411764705882,0.0,0.9485294136764706,0.0
56,0.9852941176470589,0.0,0.9779411764705882,0.0,0.9705882352941176,0.0,0.9779411764705882,0.0,0.948529414117647,0.0
57,0.9632352941176471,0.0,0.9632352941176471,0.0,0.9632352941176471,0.0,0.9779411764705882,0.0,0.9632352958823531,0.0
58,1.0,0.9999999999999964,0.9632352941176471,0.0,0.9632352941176471,0.0,0.9632352941176471,0.0,0.9632352958823531,0.0
59,0.9558823529411765,0.0,0.9705882352941176,0.0,0.9705882352941176,0.0,0.9779411764705882,0.0,0.9558823551470589,0.0
